what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1340118400462
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1340118400528
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1340118406186
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340118406203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118407608
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1340118407691
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1340118407715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118409083
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118410007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118413448
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340118414273
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1340118416190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118416249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118418347
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340118418355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1340118418355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118418363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118421667
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1340118422516
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1340118422548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118425345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118427917
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118431229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118432629
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1340118432756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118433020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118449224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118449535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118452967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118456605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118457893
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340118457962
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1340118458970
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1340118458970
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1340118458970
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1340118458971
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1340118458971
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1340118458972
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1340118458972
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1340118458972
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1340118458973
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1340118458973
stopped,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1340118458973
stopped,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1340118458973
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1340118458974
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1340118458975
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1340118458975
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1340118458976
