what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371106445000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371106445250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371106445578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371106446093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371106448234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371106449078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106452312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106468718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106470953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106474140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106477656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106564437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371106566531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371106566796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106567000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106634187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106640890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371106641703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106642484
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371106642703
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1371106643390
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1371106643453
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.153,"com.altera.debug.cdi.gdb.plugin",1371106643484
stopped,bundle,com.altera.sbtgui.launch,13.0.0.153,"com.altera.sbtgui.launch",1371106643484
stopped,bundle,com.altera.sbtgui.ui,13.0.0.153,"com.altera.sbtgui.ui",1371106643515
stopped,bundle,com.altera.sbtgui.project,13.0.0.153,"com.altera.sbtgui.project",1371106643515
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1371106643515
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1371106643515
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1371106643515
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1371106643515
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1371106643562
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1372212131703
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1372212131703
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1372212131718
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1372212131734
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1372212131750
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1372212131765
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1372212131765
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1372212131781
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1372212131843
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1372212131906
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1372212131921
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1372212131968
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1372212132000
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1372212132046
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1372212132046
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1372212132078
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1372212132093
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1372212132109
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1372212132140
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1372212132156
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1372212132171
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1372212132187
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1372212132203
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1372212132234
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1372212132265
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1372212132265
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1372212132281
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1372212132296
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1372212132312
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1372212132328
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1372212132343
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1372212132359
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1372212132375
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1372212132375
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1372212132390
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1372212132406
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1372212132406
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1372212132437
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1372212132468
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1372212132484
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1372212132515
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1372212132531
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1372212132546
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1372212132562
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1372212132578
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1372212132593
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1372212132609
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1372212132640
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1372212132656
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1372212132687
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1372212132703
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1372212132703
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1372212132718
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1372212132734
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1372212132750
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1372212132765
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1372212132781
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1372212132781
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1372212132828
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1372212132843
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1372212132859
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1372212132859
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1372212132906
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1372212132968
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1372212133140
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1372212133171
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1372212133234
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1372212133312
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1372212133390
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1372212133390
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1372212133437
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1372212133546
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1372212133609
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1372212133609
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1372212133640
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1372212133703
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1372212133718
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1372212133734
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1372212133796
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1372212133859
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1372212133937
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1372212134031
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1372212134078
started,bundle,com.altera.sbtgui.integration,13.0.0.153,"com.altera.sbtgui.integration",1372212134093
started,bundle,com.altera.sbtgui.project,13.0.0.153,"com.altera.sbtgui.project",1372212134140
started,bundle,com.altera.systemconsole,13.0.0.153,"com.altera.systemconsole",1372212134140
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.153,"com.altera.systemconsole.designs.plugin",1372212134140
started,bundle,com.altera.utilities,13.0.0.153,"com.altera.utilities",1372212134140
os,sysinfo,,,"win32",1372212134156
arch,sysinfo,,,"x86",1372212134156
ws,sysinfo,,,"win32",1372212134156
locale,sysinfo,,,"zh_CN",1372212134156
processors,sysinfo,,,"4",1372212134156
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372212134156
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1372212134156
java.specification.name,sysinfo,,,"Java Platform API Specification",1372212134156
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372212134156
java.specification.version,sysinfo,,,"1.6",1372212134156
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1372212134156
java.version,sysinfo,,,"1.6.0_23",1372212134156
java.vm.info,sysinfo,,,"mixed mode",1372212134156
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372212134156
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372212134156
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372212134156
java.vm.specification.version,sysinfo,,,"1.0",1372212134156
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1372212134156
java.vm.version,sysinfo,,,"19.0-b09",1372212134156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372212134218
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1372212135359
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1372212135859
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1372212136156
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1372212136625
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1372212137328
started,bundle,com.altera.sbtgui.core,13.0.0.153,"com.altera.sbtgui.core",1372212138984
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1372212140578
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1372212141046
started,bundle,com.altera.sbtgui.launch,13.0.0.153,"com.altera.sbtgui.launch",1372212141078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212141796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212143234
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372212145734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372212147734
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372212150312
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372212150312
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372212152781
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1372212154234
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1372212154812
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1372212154921
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1372212158843
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1372212158890
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1372212158890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212158984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212165765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212169375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212178375
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1372212179437
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1372212179500
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1372212179765
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1372212181062
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1372212182500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372212187500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372212215343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212219203
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1372212221578
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1372212221687
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1372212222000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212233140
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1372212233156
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1372212233828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372212234781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212240687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212256640
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1372212260515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212274390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212411906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212446875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212447109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212447375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212517296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212517406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212518406
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1372212518578
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372212518687
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1372212519375
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1372212519375
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.153,"com.altera.debug.cdi.gdb.plugin",1372212519406
stopped,bundle,com.altera.sbtgui.launch,13.0.0.153,"com.altera.sbtgui.launch",1372212519406
stopped,bundle,com.altera.sbtgui.ui,13.0.0.153,"com.altera.sbtgui.ui",1372212519421
stopped,bundle,com.altera.sbtgui.project,13.0.0.153,"com.altera.sbtgui.project",1372212519421
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1372212519421
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1372212519421
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1372212519421
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1372212519468
