what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1340161362414
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340161362414
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1340161362414
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1340161362414
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1340161362414
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1340161362414
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1340161362414
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1340161362414
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1340161362414
os,sysinfo,,,"win32",1340161362424
arch,sysinfo,,,"x86",1340161362424
ws,sysinfo,,,"win32",1340161362424
locale,sysinfo,,,"zh_TW",1340161362424
processors,sysinfo,,,"8",1340161362424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340161362424
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1340161362424
java.specification.name,sysinfo,,,"Java Platform API Specification",1340161362424
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340161362424
java.specification.version,sysinfo,,,"1.6",1340161362424
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340161362424
java.version,sysinfo,,,"1.6.0_23",1340161362424
java.vm.info,sysinfo,,,"mixed mode",1340161362424
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340161362424
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340161362424
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340161362424
java.vm.specification.version,sysinfo,,,"1.0",1340161362424
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340161362424
java.vm.version,sysinfo,,,"19.0-b09",1340161362424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340161378864
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340161379224
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340161380564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340161385714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340161389964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340161389994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340161390984
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340161392364
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340161392574
