what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1340345766299
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340345768349
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340345771079
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1340345771339
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1340345773559
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1340345773599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345773609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345775959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345780169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345781339
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1340345781349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345781659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345786319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345787369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345787529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345792229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340345793179
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1340345793189
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1340345800389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340345830890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340345846040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340345847960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340345850170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340345855700
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340345857360
